03/06/2021,Algeria,Mauritania,4,1,Friendly,Blida,Algeria,FALSE
03/06/2021,Andorra,Republic of Ireland,1,4,Friendly,Andorra la Vella,Andorra,FALSE
03/06/2021,Belgium,Greece,1,1,Friendly,Brussels,Belgium,FALSE
03/06/2021,Switzerland,Liechtenstein,7,0,Friendly,St Gallen,Switzerland,FALSE
03/06/2021,Turkey,Moldova,2,0,Friendly,Paderborn,Germany,TRUE
03/06/2021,Ukraine,Northern Ireland,1,0,Friendly,Dnipro,Ukraine,FALSE
03/06/2021,Mexico,Costa Rica,0,0,CONCACAF Nations League,Denver,United States,TRUE
03/06/2021,United States,Honduras,1,0,CONCACAF Nations League,Denver,United States,FALSE
03/06/2021,Nepal,Taiwan,2,0,FIFA World Cup qualification,Kuwait City,Kuwait,TRUE
03/06/2021,Iran,Hong Kong,3,1,FIFA World Cup qualification,Arad,Iran,FALSE
03/06/2021,Bahrain,Cambodia,8,0,FIFA World Cup qualification,Riffa,Bahrain,FALSE
03/06/2021,Palestine,Singapore,4,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,TRUE
03/06/2021,Bangladesh,Afghanistan,1,1,FIFA World Cup qualification,Doha,Qatar,TRUE
03/06/2021,United Arab Emirates,Malaysia,4,0,FIFA World Cup qualification,Dubai,United Arab Emirates,FALSE
03/06/2021,Thailand,Indonesia,2,2,FIFA World Cup qualification,Dubai,United Arab Emirates,TRUE
03/06/2021,Bolivia,Venezuela,3,1,FIFA World Cup qualification,La Paz,Bolivia,FALSE
03/06/2021,Uruguay,Paraguay,0,0,FIFA World Cup qualification,Montevideo,Uruguay,FALSE
03/06/2021,Argentina,Chile,1,1,FIFA World Cup qualification,Santiago del Estero,Argentina,FALSE
03/06/2021,Peru,Colombia,0,3,FIFA World Cup qualification,Lima,Peru,FALSE
03/06/2021,Kuwait,Australia,0,3,FIFA World Cup qualification,Kuwait City,Kuwait,FALSE
03/06/2021,Qatar,India,1,0,FIFA World Cup qualification,Doha,Qatar,FALSE
04/06/2021,Faroe Islands,Iceland,0,1,Friendly,Tórshavn,Faroe Islands,FALSE
04/06/2021,Finland,Estonia,0,1,Friendly,Helsinki,Finland,FALSE
04/06/2021,Hungary,Cyprus,1,0,Friendly,Budapest,Hungary,FALSE
04/06/2021,Italy,Czech Republic,4,0,Friendly,Bologna,Italy,FALSE
04/06/2021,Kosovo,Malta,2,1,Friendly,Klagenfurt,Austria,TRUE
04/06/2021,Nigeria,Cameroon,0,1,Friendly,Wiener Neustadt,Austria,TRUE
04/06/2021,North Macedonia,Kazakhstan,4,0,Friendly,Skopje,North Macedonia,FALSE
04/06/2021,Rwanda,Central African Republic,2,0,Friendly,Kigali,Rwanda,FALSE
04/06/2021,Slovenia,Gibraltar,6,0,Friendly,Koper,Slovenia,FALSE
04/06/2021,Spain,Portugal,0,0,Friendly,Madrid,Spain,FALSE
04/06/2021,Latvia,Lithuania,3,1,Baltic Cup,Riga,Latvia,FALSE
04/06/2021,Maldives,Syria,0,4,FIFA World Cup qualification,Sharjah,United Arab Emirates,TRUE
04/06/2021,Antigua and Barbuda,Grenada,1,0,FIFA World Cup qualification,North Sound,Antigua and Barbuda,FALSE
04/06/2021,Suriname,Bermuda,6,0,FIFA World Cup qualification,Paramaribo,Suriname,FALSE
04/06/2021,Guatemala,Saint Vincent and the Grenadines,10,0,FIFA World Cup qualification,Guatemala City,Guatemala,FALSE
04/06/2021,Dominican Republic,Barbados,1,1,FIFA World Cup qualification,Santo Domingo,Dominican Republic,FALSE
04/06/2021,Nicaragua,Belize,3,0,FIFA World Cup qualification,Managua,Nicaragua,FALSE
04/06/2021,Saint Kitts and Nevis,Guyana,3,0,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,FALSE
04/06/2021,Brazil,Ecuador,2,0,FIFA World Cup qualification,Porto Alegre,Brazil,FALSE
05/06/2021,Guinea,Togo,0,2,Friendly,Antalya,Turkey,TRUE
05/06/2021,Ivory Coast,Burkina Faso,2,1,Friendly,Abidjan,Ivory Coast,FALSE
05/06/2021,Montenegro,Israel,1,3,Friendly,Podgorica,Montenegro,FALSE
05/06/2021,Niger,Gambia,0,2,Friendly,Antalya,Turkey,TRUE
05/06/2021,Russia,Bulgaria,1,0,Friendly,Moscow,Russia,FALSE
05/06/2021,Senegal,Zambia,3,1,Friendly,Thiès,Senegal,FALSE
05/06/2021,Sweden,Armenia,3,1,Friendly,Stockholm,Sweden,FALSE
05/06/2021,Tunisia,DR Congo,1,0,Friendly,Radès,Tunisia,FALSE
05/06/2021,Wales,Albania,0,0,Friendly,Cardiff,Wales,FALSE
05/06/2021,Saudi Arabia,Yemen,3,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,FALSE
05/06/2021,Lebanon,Sri Lanka,3,2,FIFA World Cup qualification,Goyang,South Korea,TRUE
05/06/2021,South Korea,Turkmenistan,5,0,FIFA World Cup qualification,Goyang,South Korea,FALSE
