index,Cylinders,Engine Aspiration,Drivetrain,Transmission,Horsepower,Torque,Highway Fuel Economy
932,V6,Twin-Turbo,RWD,automatic,400 hp @ 5500 rpm,415 ft-lbs. @ 3500 rpm,26 mpg
933,V6,Twin-Turbo,AWD,automatic,400 hp @ 5500 rpm,415 ft-lbs. @ 3500 rpm,24 mpg
934,I4,Turbocharged,AWD,automatic,300 hp @ 5500 rpm,310 ft-lbs. @ 3500 rpm,27 mpg
935,I4,Turbocharged,RWD,automatic,300 hp @ 5500 rpm,310 ft-lbs. @ 3500 rpm,28 mpg
936,V6,Twin-Turbo,RWD,automatic,400 hp @ 5500 rpm,415 ft-lbs. @ 3500 rpm,26 mpg
937,V6,Twin-Turbo,AWD,automatic,400 hp @ 5500 rpm,415 ft-lbs. @ 3500 rpm,24 mpg
938,V6,Twin-Turbo,AWD,automatic,400 hp @ 5500 rpm,415 ft-lbs. @ 3500 rpm,24 mpg
939,V6,Twin-Turbo,RWD,automatic,400 hp @ 5500 rpm,415 ft-lbs. @ 3500 rpm,26 mpg
940,I4,Turbocharged,AWD,automatic,300 hp @ 5500 rpm,310 ft-lbs. @ 3500 rpm,27 mpg
941,I4,Turbocharged,RWD,automatic,300 hp @ 5500 rpm,310 ft-lbs. @ 3500 rpm,28 mpg
942,I4,Turbocharged,AWD,automatic,300 hp @ 5500 rpm,310 ft-lbs. @ 3500 rpm,22 mpg
943,I4,Turbocharged,RWD,automatic,300 hp @ 5500 rpm,310 ft-lbs. @ 3500 rpm,28 mpg
944,I4,Turbocharged,AWD,automatic,300 hp @ 5500 rpm,310 ft-lbs. @ 3500 rpm,27 mpg
945,V6,Twin-Turbo,4WD,automatic,400 hp @ 6000 rpm,500 ft-lbs. @ 3100 rpm,24 mpg
946,V6,Twin-Turbo,4WD,automatic,400 hp @ 6000 rpm,500 ft-lbs. @ 3100 rpm,24 mpg
947,V8,Naturally Aspirated,4WD,automatic,400 hp @ 6000 rpm,410 ft-lbs. @ 4250 rpm,24 mpg
948,V8,Naturally Aspirated,4WD,automatic,400 hp @ 6000 rpm,410 ft-lbs. @ 4250 rpm,24 mpg
949,V6,Twin-Turbo,4WD,automatic,400 hp @ 6000 rpm,500 ft-lbs. @ 3100 rpm,24 mpg
950,V6,Twin-Turbo,4WD,automatic,400 hp @ 6000 rpm,500 ft-lbs. @ 3100 rpm,24 mpg
951,V6,Twin-Turbo,4WD,automatic,450 hp @ 5850 rpm,510 ft-lbs. @ 3000 rpm,24 mpg
952,V6,Twin-Turbo,RWD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,25 mpg
953,V6,Twin-Turbo,4WD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,23 mpg
954,V6,Twin-Turbo,RWD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,25 mpg
955,V6,Twin-Turbo,4WD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,23 mpg
956,V8,Naturally Aspirated,4WD,automatic,400 hp @ 6000 rpm,410 ft-lbs. @ 4250 rpm,24 mpg
957,V8,Naturally Aspirated,4WD,automatic,400 hp @ 6000 rpm,410 ft-lbs. @ 4250 rpm,24 mpg
958,V6,Twin-Turbo,RWD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,25 mpg
959,V6,Twin-Turbo,4WD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,23 mpg
960,V8,Naturally Aspirated,RWD,automatic,400 hp @ 6000 rpm,410 ft-lbs. @ 4250 rpm,24 mpg
961,V6,Twin-Turbo,4WD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,23 mpg
962,V6,Twin-Turbo,RWD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,25 mpg
963,V8,Naturally Aspirated,4WD,automatic,400 hp @ 6000 rpm,410 ft-lbs. @ 4250 rpm,24 mpg
964,V6,Twin-Turbo,4WD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,23 mpg
965,V6,Twin-Turbo,RWD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,25 mpg
966,V6,Twin-Turbo,4WD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,23 mpg
967,V6,Twin-Turbo,4WD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,23 mpg
968,V8,Naturally Aspirated,4WD,automatic,400 hp @ 6000 rpm,410 ft-lbs. @ 4250 rpm,24 mpg
969,V6,Twin-Turbo,RWD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,25 mpg
970,V6,Twin-Turbo,RWD,automatic,325 hp @ 5000 rpm,400 ft-lbs. @ 3000 rpm,25 mpg
971,,Electric Motor,4WD,automatic,,,63 mpg
972,,Electric Motor,4WD,automatic,,,63 mpg
973,,Electric Motor,4WD,automatic,,,60 mpg
974,,Electric Motor,4WD,automatic,,,61 mpg
975,,Electric Motor,4WD,automatic,,,61 mpg
976,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
977,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
978,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
979,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
980,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
981,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
982,V8,Turbocharged,4WD,automatic,500 hp @ 2600 rpm,1200 ft-lbs. @ 1600 rpm,
983,V8,Turbocharged,4WD,automatic,500 hp @ 2600 rpm,1200 ft-lbs. @ 1600 rpm,
984,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
985,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
986,V8,Naturally Aspirated,RWD,automatic,405 hp @ 5000 rpm,445 ft-lbs. @ 4000 rpm,
987,V8,Naturally Aspirated,RWD,automatic,405 hp @ 5000 rpm,445 ft-lbs. @ 4000 rpm,
988,V8,Naturally Aspirated,4WD,automatic,405 hp @ 5000 rpm,445 ft-lbs. @ 4000 rpm,
989,V8,Naturally Aspirated,4WD,automatic,405 hp @ 5000 rpm,445 ft-lbs. @ 4000 rpm,
990,V8,Naturally Aspirated,4WD,automatic,405 hp @ 5000 rpm,445 ft-lbs. @ 4000 rpm,
991,V8,Naturally Aspirated,RWD,automatic,405 hp @ 5000 rpm,445 ft-lbs. @ 4000 rpm,
992,V8,Naturally Aspirated,4WD,automatic,405 hp @ 5000 rpm,445 ft-lbs. @ 4000 rpm,
993,V8,Naturally Aspirated,RWD,automatic,405 hp @ 5000 rpm,445 ft-lbs. @ 4000 rpm,
994,V8,Naturally Aspirated,4WD,automatic,405 hp @ 5000 rpm,445 ft-lbs. @ 4000 rpm,
995,V8,Naturally Aspirated,RWD,automatic,405 hp @ 5000 rpm,445 ft-lbs. @ 4000 rpm,
996,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
997,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
998,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
999,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
1600,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
1601,V8,Naturally Aspirated,4WD,automatic,430 hp @ 5500 rpm,485 ft-lbs. @ 4000 rpm,
